sample,thin_sample,who,value
131,1310,monkeys,0.082246
131,1310,kids,0.013513
131,1310,tsimane,0.000839
131,1310,adults,0.001006
132,1320,monkeys,0.082246
132,1320,kids,0.013513
132,1320,tsimane,0.000839
132,1320,adults,0.001006
133,1330,monkeys,0.082563
133,1330,kids,0.013651
133,1330,tsimane,0.000919
133,1330,adults,0.000919
134,1340,monkeys,0.085667
134,1340,kids,0.014056
134,1340,tsimane,0.002018
134,1340,adults,0.001024
135,1350,monkeys,0.085667
135,1350,kids,0.014056
135,1350,tsimane,0.002018
135,1350,adults,0.001024
136,1360,monkeys,0.083820
136,1360,kids,0.015046
136,1360,tsimane,0.001605
136,1360,adults,0.000959
137,1370,monkeys,0.087358
137,1370,kids,0.015113
137,1370,tsimane,0.001597
137,1370,adults,0.001149
138,1380,monkeys,0.087230
138,1380,kids,0.014633
138,1380,tsimane,0.001663
138,1380,adults,0.001621
139,1390,monkeys,0.090881
139,1390,kids,0.014633
139,1390,tsimane,0.002045
139,1390,adults,0.001671
140,1400,monkeys,0.091056
140,1400,kids,0.015260
140,1400,tsimane,0.002297
140,1400,adults,0.002303
141,1410,monkeys,0.090953
141,1410,kids,0.014375
141,1410,tsimane,0.001295
141,1410,adults,0.000819
142,1420,monkeys,0.091356
142,1420,kids,0.014752
142,1420,tsimane,0.001432
142,1420,adults,0.001124
143,1430,monkeys,0.098459
143,1430,kids,0.013490
143,1430,tsimane,0.002800
143,1430,adults,0.000182
144,1440,monkeys,0.098459
144,1440,kids,0.013490
144,1440,tsimane,0.002800
144,1440,adults,0.000182
145,1450,monkeys,0.099029
145,1450,kids,0.013742
145,1450,tsimane,0.003002
145,1450,adults,0.000215
146,1460,monkeys,0.100216
146,1460,kids,0.013586
146,1460,tsimane,0.002995
146,1460,adults,0.000164
147,1470,monkeys,0.100216
147,1470,kids,0.013586
147,1470,tsimane,0.002995
147,1470,adults,0.000164
148,1480,monkeys,0.099298
148,1480,kids,0.014884
148,1480,tsimane,0.003283
148,1480,adults,0.000131
149,1490,monkeys,0.099147
149,1490,kids,0.015146
149,1490,tsimane,0.003250
149,1490,adults,0.000129
150,1500,monkeys,0.099290
150,1500,kids,0.014065
150,1500,tsimane,0.002098
150,1500,adults,0.000103
151,1510,monkeys,0.108231
151,1510,kids,0.019539
151,1510,tsimane,0.002315
151,1510,adults,0.000373
152,1520,monkeys,0.105920
152,1520,kids,0.019183
152,1520,tsimane,0.002466
152,1520,adults,0.000467
153,1530,monkeys,0.084586
153,1530,kids,0.015262
153,1530,tsimane,0.002033
153,1530,adults,0.001857
154,1540,monkeys,0.082450
154,1540,kids,0.015334
154,1540,tsimane,0.001893
154,1540,adults,0.001852
155,1550,monkeys,0.081726
155,1550,kids,0.015456
155,1550,tsimane,0.001819
155,1550,adults,0.002669
