sample,thin_sample,who,value
195,1950,tsimane,0.001979
195,1950,adults,0.000392
196,1960,monkeys,0.081740
196,1960,kids,0.014351
196,1960,tsimane,0.001190
196,1960,adults,0.000438
197,1970,monkeys,0.077101
197,1970,kids,0.013725
197,1970,tsimane,0.001197
197,1970,adults,0.001096
198,1980,monkeys,0.080852
198,1980,kids,0.015951
198,1980,tsimane,0.002805
198,1980,adults,0.002710
199,1990,monkeys,0.096370
199,1990,kids,0.011728
199,1990,tsimane,0.002855
199,1990,adults,0.003340
200,2000,monkeys,0.096370
200,2000,kids,0.011728
200,2000,tsimane,0.002855
200,2000,adults,0.003340
201,2010,monkeys,0.096370
201,2010,kids,0.011728
201,2010,tsimane,0.002855
201,2010,adults,0.003340
202,2020,monkeys,0.096370
202,2020,kids,0.011728
202,2020,tsimane,0.002855
202,2020,adults,0.003340
203,2030,monkeys,0.099630
203,2030,kids,0.011333
203,2030,tsimane,0.002845
203,2030,adults,0.003118
204,2040,monkeys,0.099630
204,2040,kids,0.011333
204,2040,tsimane,0.002845
204,2040,adults,0.003118
205,2050,monkeys,0.099630
205,2050,kids,0.011333
205,2050,tsimane,0.002845
205,2050,adults,0.003118
206,2060,monkeys,0.098233
206,2060,kids,0.011637
206,2060,tsimane,0.002893
206,2060,adults,0.003051
207,2070,monkeys,0.067611
207,2070,kids,0.023163
207,2070,tsimane,0.002159
207,2070,adults,0.000172
208,2080,monkeys,0.070823
208,2080,kids,0.011024
208,2080,tsimane,0.001448
208,2080,adults,0.002073
209,2090,monkeys,0.072278
209,2090,kids,0.011230
209,2090,tsimane,0.001460
209,2090,adults,0.002263
210,2100,monkeys,0.072278
210,2100,kids,0.011230
210,2100,tsimane,0.001460
210,2100,adults,0.002263
211,2110,monkeys,0.067863
211,2110,kids,0.011273
211,2110,tsimane,0.001618
211,2110,adults,0.002357
212,2120,monkeys,0.069143
212,2120,kids,0.011760
212,2120,tsimane,0.001522
212,2120,adults,0.002568
213,2130,monkeys,0.062889
213,2130,kids,0.011695
213,2130,tsimane,0.001344
213,2130,adults,0.002264
214,2140,monkeys,0.057381
214,2140,kids,0.009232
214,2140,tsimane,0.001347
214,2140,adults,0.001102
215,2150,monkeys,0.058525
215,2150,kids,0.009436
215,2150,tsimane,0.001335
215,2150,adults,0.001152
216,2160,monkeys,0.067070
216,2160,kids,0.010700
216,2160,tsimane,0.001406
216,2160,adults,0.000921
217,2170,monkeys,0.076163
217,2170,kids,0.009885
217,2170,tsimane,0.001290
217,2170,adults,0.000717
218,2180,monkeys,0.071851
218,2180,kids,0.025011
218,2180,tsimane,0.001536
218,2180,adults,0.001031
219,2190,monkeys,0.068483
219,2190,kids,0.023130
219,2190,tsimane,0.002228
219,2190,adults,0.001091
220,2200,monkeys,0.070033
220,2200,kids,0.022291
220,2200,tsimane,0.002121
220,2200,adults,0.001040
221,2210,monkeys,0.082703
221,2210,kids,0.017495
221,2210,tsimane,0.003297
221,2210,adults,0.001138
222,2220,monkeys,0.083994
222,2220,kids,0.017216
222,2220,tsimane,0.003222
222,2220,adults,0.001263
223,2230,monkeys,0.081486
223,2230,kids,0.017825
223,2230,tsimane,0.003775
223,2230,adults,0.001327
224,2240,monkeys,0.089609
224,2240,kids,0.017440
224,2240,tsimane,0.005532
224,2240,adults,0.001324
225,2250,monkeys,0.073660
225,2250,kids,0.016979
225,2250,tsimane,0.003921
225,2250,adults,0.000043
226,2260,monkeys,0.074603
226,2260,kids,0.019191
226,2260,tsimane,0.004631
226,2260,adults,0.000047
227,2270,monkeys,0.084801
227,2270,kids,0.016670
227,2270,tsimane,0.002169
227,2270,adults,0.000062
228,2280,monkeys,0.082883
228,2280,kids,0.016568
228,2280,tsimane,0.002253
228,2280,adults,0.000047
229,2290,monkeys,0.083659
229,2290,kids,0.018226
229,2290,tsimane,0.002450
229,2290,adults,0.000042
