sample,thin_sample,who,part,digits,value
138,1380,tsimane,2,None,0.006397
138,1380,adults,3,None,0.021209
139,1390,monkeys,0,None,0.017579
139,1390,kids,1,None,0.020504
139,1390,tsimane,2,None,0.002348
139,1390,adults,3,None,0.005216
140,1400,monkeys,0,None,0.015038
140,1400,kids,1,None,0.017996
140,1400,tsimane,2,None,0.001544
140,1400,adults,3,None,0.006094
141,1410,monkeys,0,None,0.011144
141,1410,kids,1,None,0.036170
141,1410,tsimane,2,None,0.003033
141,1410,adults,3,None,0.005672
142,1420,monkeys,0,None,0.011559
142,1420,kids,1,None,0.040418
142,1420,tsimane,2,None,0.003385
142,1420,adults,3,None,0.006327
143,1430,monkeys,0,None,0.013217
143,1430,kids,1,None,0.040374
143,1430,tsimane,2,None,0.004760
143,1430,adults,3,None,0.006610
144,1440,monkeys,0,None,0.031954
144,1440,kids,1,None,0.043537
144,1440,tsimane,2,None,0.029083
144,1440,adults,3,None,0.009273
145,1450,monkeys,0,None,0.133772
145,1450,kids,1,None,0.192210
145,1450,tsimane,2,None,0.269293
145,1450,adults,3,None,0.270592
146,1460,monkeys,0,None,0.033742
146,1460,kids,1,None,0.130933
146,1460,tsimane,2,None,0.031583
146,1460,adults,3,None,0.061366
147,1470,monkeys,0,None,0.003403
147,1470,kids,1,None,0.036604
147,1470,tsimane,2,None,0.261830
147,1470,adults,3,None,0.006182
148,1480,monkeys,0,None,0.073162
148,1480,kids,1,None,0.031396
148,1480,tsimane,2,None,0.038199
148,1480,adults,3,None,0.010592
149,1490,monkeys,0,None,0.030001
149,1490,kids,1,None,0.091148
149,1490,tsimane,2,None,0.035667
149,1490,adults,3,None,0.010081
150,1500,monkeys,0,None,0.044106
150,1500,kids,1,None,0.011020
150,1500,tsimane,2,None,0.044849
150,1500,adults,3,None,0.002995
151,1510,monkeys,0,None,0.038126
151,1510,kids,1,None,0.131587
151,1510,tsimane,2,None,0.147083
151,1510,adults,3,None,0.010361
152,1520,monkeys,0,None,0.073668
152,1520,kids,1,None,0.047771
152,1520,tsimane,2,None,0.181665
152,1520,adults,3,None,0.006648
153,1530,monkeys,0,None,0.063935
153,1530,kids,1,None,0.021605
153,1530,tsimane,2,None,0.116460
153,1530,adults,3,None,0.002769
154,1540,monkeys,0,None,0.103316
154,1540,kids,1,None,0.037491
154,1540,tsimane,2,None,0.099149
154,1540,adults,3,None,0.080879
155,1550,monkeys,0,None,0.074265
155,1550,kids,1,None,0.003933
155,1550,tsimane,2,None,0.181072
155,1550,adults,3,None,0.043720
156,1560,monkeys,0,None,0.073149
156,1560,kids,1,None,0.003749
156,1560,tsimane,2,None,0.180768
156,1560,adults,3,None,0.041076
157,1570,monkeys,0,None,0.076417
157,1570,kids,1,None,0.376516
157,1570,tsimane,2,None,0.051613
157,1570,adults,3,None,0.019685
158,1580,monkeys,0,None,0.021391
158,1580,kids,1,None,0.029407
158,1580,tsimane,2,None,0.067888
158,1580,adults,3,None,0.060358
159,1590,monkeys,0,None,0.014780
159,1590,kids,1,None,0.031126
159,1590,tsimane,2,None,0.140551
159,1590,adults,3,None,0.034330
160,1600,monkeys,0,None,0.245666
160,1600,kids,1,None,0.139385
160,1600,tsimane,2,None,0.079065
160,1600,adults,3,None,0.097533
161,1610,monkeys,0,None,0.027668
161,1610,kids,1,None,0.039154
161,1610,tsimane,2,None,0.045090
161,1610,adults,3,None,0.039108
162,1620,monkeys,0,None,0.027198
162,1620,kids,1,None,0.037914
162,1620,tsimane,2,None,0.045325
162,1620,adults,3,None,0.039422
163,1630,monkeys,0,None,0.054192
163,1630,kids,1,None,0.130732
163,1630,tsimane,2,None,0.175726
163,1630,adults,3,None,0.077670
164,1640,monkeys,0,None,0.196093
164,1640,kids,1,None,0.048880
164,1640,tsimane,2,None,0.111064
164,1640,adults,3,None,0.064297
165,1650,monkeys,0,None,0.196093
165,1650,kids,1,None,0.048880
165,1650,tsimane,2,None,0.111064
165,1650,adults,3,None,0.064297
166,1660,monkeys,0,None,0.213795
166,1660,kids,1,None,0.049314
166,1660,tsimane,2,None,0.106315
166,1660,adults,3,None,0.076694
167,1670,monkeys,0,None,0.041864
167,1670,kids,1,None,0.183186
167,1670,tsimane,2,None,0.024593
167,1670,adults,3,None,0.344169
168,1680,monkeys,0,None,0.096521
168,1680,kids,1,None,0.022261
168,1680,tsimane,2,None,0.040238
168,1680,adults,3,None,0.012945
169,1690,monkeys,0,None,0.071168
169,1690,kids,1,None,0.194413
169,1690,tsimane,2,None,0.160129
169,1690,adults,3,None,0.165291
170,1700,monkeys,0,None,0.118699
170,1700,kids,1,None,0.023551
170,1700,tsimane,2,None,0.004064
170,1700,adults,3,None,0.045335
171,1710,monkeys,0,None,0.203499
171,1710,kids,1,None,0.033634
171,1710,tsimane,2,None,0.002122
171,1710,adults,3,None,0.149784
172,1720,monkeys,0,None,0.039822
172,1720,kids,1,None,0.244447
172,1720,tsimane,2,None,0.303582
172,1720,adults,3,None,0.068366
173,1730,monkeys,0,None,0.072367
173,1730,kids,1,None,0.044722
173,1730,tsimane,2,None,0.053929
173,1730,adults,3,None,0.038973
174,1740,monkeys,0,None,0.023089
174,1740,kids,1,None,0.030589
174,1740,tsimane,2,None,0.267889
174,1740,adults,3,None,0.214421
175,1750,monkeys,0,None,0.016272
175,1750,kids,1,None,0.043162
175,1750,tsimane,2,None,0.076050
175,1750,adults,3,None,0.330890
176,1760,monkeys,0,None,0.035186
176,1760,kids,1,None,0.045840
176,1760,tsimane,2,None,0.228107
176,1760,adults,3,None,0.085901
177,1770,monkeys,0,None,0.138878
177,1770,kids,1,None,0.163182
177,1770,tsimane,2,None,0.080332
177,1770,adults,3,None,0.131998
178,1780,monkeys,0,None,0.101432
178,1780,kids,1,None,0.050975
178,1780,tsimane,2,None,0.271363
178,1780,adults,3,None,0.070615
179,1790,monkeys,0,None,0.002648
179,1790,kids,1,None,0.166435
179,1790,tsimane,2,None,0.030298
179,1790,adults,3,None,0.038858
180,1800,monkeys,0,None,0.151355
