who,id,alg_name,alg_type,val,sds
tsimane, 54, CCOO, Other, 0.008220, 0.019079
tsimane, 54, COCO, Other, 0.004655, 0.013595
tsimane, 54, COOM, Other, 0.010767, 0.020208
tsimane, 55, OMCO, Other, 0.005465, 0.014984
tsimane, 55, OCOM, Other, 0.018935, 0.024541
tsimane, 55, OOMC, Recursive, 0.584988, 0.129760
tsimane, 55, OMOC, Tail, 0.010435, 0.025617
tsimane, 55, OOCM, Crossing, 0.323150, 0.132057
tsimane, 55, OCCO, Other, 0.004239, 0.008820
tsimane, 55, CCOO, Other, 0.004777, 0.010316
tsimane, 55, COCO, Other, 0.002644, 0.008345
tsimane, 55, COOM, Other, 0.045366, 0.038574
adults, 56, OMCO, Other, 0.003780, 0.010211
adults, 56, OCOM, Other, 0.001382, 0.003549
adults, 56, OOMC, Recursive, 0.908564, 0.058927
adults, 56, OMOC, Tail, 0.002307, 0.008170
adults, 56, OOCM, Crossing, 0.055546, 0.036740
adults, 56, OCCO, Other, 0.001770, 0.005181
adults, 56, CCOO, Other, 0.011416, 0.027333
